id,code,name,user_type_id,chart_template_id/id,reconcile
account_21020301,21020301,เงินรอรับรู้,Current Liabilities,nxpo_coa.chart,TRUE
account_21020901,21020901,เจ้าหนี้อื่น,Current Liabilities,nxpo_coa.chart,TRUE
account_21020902,21020902,บัญชีพัก-เจ้าหนี้อื่น,Current Liabilities,nxpo_coa.chart,TRUE
account_21020903,21020903,บัญชีพัก-เจ้าหนี้ค่าธรรมเนียมธนาคาร,Current Liabilities,nxpo_coa.chart,TRUE
account_21020904,21020904,เจ้าหนี้-สอวช.,Current Liabilities,nxpo_coa.chart,TRUE
account_21030000,21030000,ค่าใช้จ่ายค้างจ่าย,Current Liabilities,nxpo_coa.chart,FALSE
account_21030101,21030101,ค่าสาธารณูปโภคค้างจ่าย,Current Liabilities,nxpo_coa.chart,TRUE
account_21030201,21030201,ค่าเช่าและบริการค้างจ่าย,Current Liabilities,nxpo_coa.chart,TRUE
account_21030301,21030301,ค่าจ้างทำบัญชีค้างจ่าย,Current Liabilities,nxpo_coa.chart,TRUE
account_21030401,21030401,ค่าจ้างที่ปรึกษา/ผู้เชี่ยวชาญ/IT Outsourceค้างจ่าย,Current Liabilities,nxpo_coa.chart,TRUE
account_21030501,21030501,ค่าใช้จ่ายค้างจ่ายอื่น,Current Liabilities,nxpo_coa.chart,TRUE
account_21030601,21030601,หนี้สินตามสัญญาเช่าการเงิน,Current Liabilities,nxpo_coa.chart,TRUE
account_21030611,21030611,ดอกเบี้ยจ่ายรอตัดจ่าย,Current Liabilities,nxpo_coa.chart,TRUE
account_21040000,21040000,รายได้รับล่วงหน้า,Current Liabilities,nxpo_coa.chart,FALSE
account_21040101,21040101,รายได้รับล่วงหน้า,Current Liabilities,nxpo_coa.chart,TRUE
account_21050000,21050000,เงินค้างนำส่ง,Current Liabilities,nxpo_coa.chart,FALSE
account_21050301,21050301,ภาษีเงินได้บุคคลธรรมดาหัก ณ ที่จ่าย ภงด1,Current Liabilities,nxpo_coa.chart,TRUE
account_21050401,21050401,ภาษีเงินได้บุคคลธรรมดาหัก ณ ที่จ่าย ภงด3,Current Liabilities,nxpo_coa.chart,TRUE
account_21050501,21050501,ภาษีเงินได้นิติบุคคลหัก ณ ที่จ่าย ภงด 53,Current Liabilities,nxpo_coa.chart,TRUE
account_21050601,21050601,ภาษีเงินได้นิติบุคคลหัก ณ ที่จ่าย ภงด 54,Current Liabilities,nxpo_coa.chart,TRUE
account_21080000,21080000,เงินมัดจำ/เงินค้ำประกัน,Current Liabilities,nxpo_coa.chart,FALSE
account_21080501,21080501,เงินประกันผลงาน,Current Liabilities,nxpo_coa.chart,TRUE
account_21080601,21080601,เงินหลักประกันรับตามสัญญา,Current Liabilities,nxpo_coa.chart,TRUE
account_22000000,22000000,หนี้สินไม่หมุนเวียน,Non-current Liabilities,nxpo_coa.chart,FALSE
account_22010000,22010000,เงินสำรองรอจ่าย,Non-current Liabilities,nxpo_coa.chart,FALSE
account_22010101,22010101,หนี้สินผลประโยชน์พนักงาน,Non-current Liabilities,nxpo_coa.chart,TRUE
account_22020000,22020000,หนี้สินตามสัญญาเช่าการเงิน - ระยะยาว,Non-current Liabilities,nxpo_coa.chart,FALSE
account_22020101,22020101,หนี้สินตามสัญญาเช่าการเงินที่ถึงกำหนดชำระเกินกว่า 1 ปี,Non-current Liabilities,nxpo_coa.chart,TRUE
account_22020111,22020111,ดอกเบี้ยรอตัดบัญชี-ที่ถึงกำหนดชำระเกินกว่า 1 ปี,Non-current Liabilities,nxpo_coa.chart,TRUE
account_22900000,22900000,หนี้สินไม่หมุนเวียนอื่น,Non-current Liabilities,nxpo_coa.chart,FALSE
account_22909000,22909000,หนี้สินไม่หมุนเวียนอื่น,Non-current Liabilities,nxpo_coa.chart,TRUE
account_30000000,30000000,เงินกองทุน (ส่วนของเจ้าของ),Equity,nxpo_coa.chart,FALSE
account_31000000,31000000,ทุน,Equity,nxpo_coa.chart,FALSE
account_31000301,31000301,ทุนรับโอนจากหน่วยงานอื่น,Equity,nxpo_coa.chart,TRUE
account_31000302,31000302,ทุนเพิ่ม/ลด,Equity,nxpo_coa.chart,TRUE
account_34000000,34000000,รายได้สูงกว่า(ต่ำกว่า)ค่าใช่จ่ายสะสม,Equity,nxpo_coa.chart,FALSE
account_34000101,34000101,รายได้สูงกว่า (ต่ำกว่า) ค่าใช้จ่ายสะสม,Equity,nxpo_coa.chart,TRUE
account_40000000,40000000,รายได้,Income,nxpo_coa.chart,FALSE
account_41000000,41000000,รายได้เงินอุดหนุน,Income,nxpo_coa.chart,FALSE
account_41010000,41010000,เงินอุดหนุน,Income,nxpo_coa.chart,FALSE
account_41010101,41010101,รายได้เงินอุดหนุนจากภาครัฐ,Income,nxpo_coa.chart,TRUE
